Expected score mean (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,250.286,235.905,282.244,240.19
Good: gpt-4.1,365.619,294.667,304.381,254.19
Good: gpt-5.1,507.707,451.905,342.0,290.927
Good: gpt-5.4,484.667,442.476,403.333,370.19
