Actual score mean (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,252.286,236.238,284.829,240.19
Good: gpt-4.1,365.762,290.095,310.667,251.095
Good: gpt-5.1,508.585,440.429,337.571,290.829
Good: gpt-5.4,485.667,444.952,391.476,368.524
