Expected score mean (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,245.0,228.0,319.5,238.5
Good: gpt-4.1,356.5,319.5,266.0,246.5
Good: gpt-5.1,475.5,406.5,329.5,351.5
Good: gpt-5.4,501.5,465.714,467.0,387.0
