Expected score stdev (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,19.57,31.749,117.328,2.784
Good: gpt-4.1,104.851,58.666,28.636,14.414
Good: gpt-5.1,121.745,121.556,118.067,130.881
Good: gpt-5.4,103.729,120.889,88.357,126.376
