Actual score stdev (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,30.05,31.749,148.099,2.817
Good: gpt-4.1,148.64,87.669,24.367,18.985
Good: gpt-5.1,118.665,131.987,123.543,107.032
Good: gpt-5.4,139.422,143.092,137.597,133.801
