Actual score mean (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,249.0,228.0,343.75,239.25
Good: gpt-4.1,362.75,328.75,257.5,248.25
Good: gpt-5.1,434.25,403.75,327.25,335.25
Good: gpt-5.4,522.25,466.0,465.0,406.5
