Expected score stdev (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,34.637,31.73,106.734,19.529
Good: gpt-4.1,96.666,51.574,110.58,24.149
Good: gpt-5.1,112.687,128.841,106.597,69.293
Good: gpt-5.4,98.434,105.455,113.692,124.925
