Actual score stdev (Good \ Evil),Evil: gpt-4o-mini,Evil: gpt-4.1,Evil: gpt-5.1,Evil: gpt-5.4
Good: gpt-4o-mini,37.201,39.815,114.249,20.807
Good: gpt-4.1,116.179,68.969,118.686,29.962
Good: gpt-5.1,132.389,149.926,110.814,78.926
Good: gpt-5.4,116.458,126.232,133.556,140.488
