good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4o-mini,no_evil_model,1,8.0,8.0,79
gpt-4o-mini,no_evil_model,2,16.531645569620252,8.531645569620252,79
gpt-4o-mini,no_evil_model,3,26.10126582278481,9.569620253164556,79
gpt-4o-mini,no_evil_model,4,35.18987341772152,9.08860759493671,79
gpt-4o-mini,no_evil_model,5,45.46835443037975,10.278481012658228,79
gpt-4o-mini,no_evil_model,6,55.59493670886076,10.126582278481013,79
gpt-4o-mini,no_evil_model,7,66.20253164556962,10.60759493670886,79
gpt-4o-mini,no_evil_model,8,76.58227848101266,10.379746835443038,79
gpt-4o-mini,no_evil_model,9,85.92405063291139,9.341772151898734,79
gpt-4o-mini,no_evil_model,10,95.79746835443038,9.873417721518987,79
gpt-4o-mini,no_evil_model,11,105.24050632911393,9.443037974683545,79
gpt-4o-mini,no_evil_model,12,115.41772151898734,10.177215189873417,79
gpt-4o-mini,no_evil_model,13,125.72151898734177,10.30379746835443,79
gpt-4o-mini,no_evil_model,14,135.21518987341773,9.49367088607595,79
gpt-4o-mini,no_evil_model,15,144.78481012658227,9.569620253164556,79
gpt-4o-mini,no_evil_model,16,154.83544303797467,10.050632911392405,79
gpt-4o-mini,no_evil_model,17,164.1772151898734,9.341772151898734,79
gpt-4o-mini,no_evil_model,18,174.45569620253164,10.278481012658228,79
gpt-4o-mini,no_evil_model,19,183.59493670886076,9.139240506329115,79
gpt-4o-mini,no_evil_model,20,192.25316455696202,8.658227848101266,79
gpt-4o-mini,no_evil_model,21,201.34177215189874,9.08860759493671,79
gpt-4o-mini,no_evil_model,22,210.45569620253164,9.113924050632912,79
gpt-4o-mini,no_evil_model,23,220.0506329113924,9.594936708860759,79
gpt-4o-mini,no_evil_model,24,229.26582278481013,9.215189873417721,79
gpt-4o-mini,no_evil_model,25,239.29113924050634,10.025316455696203,79
gpt-4o-mini,no_evil_model,26,248.9620253164557,9.670886075949367,79
gpt-4o-mini,no_evil_model,27,258.60759493670884,9.645569620253164,79
gpt-4o-mini,no_evil_model,28,268.40506329113924,9.79746835443038,79
gpt-4o-mini,no_evil_model,29,278.63291139240505,10.227848101265822,79
