comparison,diff_mean,t_stat,p_raw,p_holm,n_left,n_right,mean_left,mean_right
5.4 vs 5.1 minus 5.4 vs 4.1,-44.77803434839086,-3.5753086150287405,0.00040210621351791906,0.0008042124270358381,164,169,428.9024390243902,473.6804733727811
5.4 vs 4.1 minus 5.4 vs 4o-mini,-19.4489383919248,-1.6908069599697864,0.09181502784040523,0.09181502784040523,169,170,473.6804733727811,493.1294117647059
