comparison,diff_mean,t_stat,p_raw,p_holm,n_left,n_right,mean_left,mean_right
5.4 vs 5.1 minus 5.4 vs 4.1,-44.889786756453475,-3.560007083214645,0.0004263995618585401,0.0008527991237170802,162,165,428.39506172839504,473.2848484848485
5.4 vs 4.1 minus 5.4 vs 4o-mini,-19.881818181818176,-1.716033498344343,0.08710812226008091,0.08710812226008091,165,168,473.2848484848485,493.1666666666667
