metric,comparison,diff_mean,p_raw,p_holm,n_left,n_right,mean_left,mean_right
expected_score,5.4 vs 5.1 minus 5.4 vs 4.1,-46.1650561340964,0.00018336291230353625,0.0003667258246070725,171,187,423.69590643274853,469.86096256684493
expected_score,5.4 vs 4.1 minus 5.4 vs 4o-mini,-22.373079986346568,0.04460619587025566,0.04460619587025566,187,188,469.86096256684493,492.2340425531915
actual_score,5.4 vs 5.1 minus 5.4 vs 4.1,-50.08781311567691,0.0005472194164741093,0.0010944388329482185,171,187,423.4736842105263,473.5614973262032
actual_score,5.4 vs 4.1 minus 5.4 vs 4o-mini,-20.193821822732957,0.1279038754979027,0.1279038754979027,187,188,473.5614973262032,493.75531914893617
