comparison,diff_mean,p_raw,p_holm,n_left,n_right,mean_left,mean_right
5.4 vs 5.1 minus 5.4 vs 4.1,-43.765967365967356,0.0001669980538487935,0.000333996107697587,195,198,428.7794871794872,472.54545454545456
5.4 vs 4.1 minus 5.4 vs 4o-mini,-19.69575148469619,0.06648771479691204,0.06648771479691204,198,199,472.54545454545456,492.24120603015075
