comparison,diff_mean,t_stat,p_raw,p_holm,n_left,n_right,mean_left,mean_right
5.4 vs 5.1 minus 5.4 vs 4.1,-44.311134648484085,-3.5799594358005336,0.00039341658841276426,0.0007868331768255285,166,182,425.71084337349396,470.02197802197804
5.4 vs 4.1 minus 5.4 vs 4o-mini,-22.48351648351644,-1.9988753394364214,0.0463817324764931,0.0463817324764931,182,182,470.02197802197804,492.5054945054945
