good_model,bad_model,n,n_discovered,n_abandoned_conditional,mean_total_score,mean_good_total_tokens,mean_bad_total_tokens,mean_good_output_tokens,mean_bad_output_tokens,discover_rate,abandon_rate_conditional,mean_final_optimal_share,mean_final_safe_share,never_discovered_rate,discovered_retained_rate,discovered_then_abandoned_rate,solo_score,solo_discover_rate,solo_abandon_rate,solo_n_discovered,MIR,delta_discover_rate,delta_abandon_rate
gpt-4o-mini,gpt-4o-mini,91,1,1,242.26373626373626,89620.02197802198,98625.7032967033,1998.032967032967,2582.8241758241757,0.01098901098901099,1.0,0.0,0.9912087912087911,0.989010989010989,0.0,0.01098901098901099,288.8607594936709,0.21518987341772153,0.47058823529411764,17,46.59702322993465,0.20420086242871055,0.5294117647058824
gpt-4o-mini,gpt-4.1,149,1,1,240.8993288590604,100212.39597315436,109174.5100671141,2082.1476510067114,3148.5838926174497,0.006711409395973154,1.0,0.0,1.0,0.9932885906040269,0.0,0.006711409395973154,288.8607594936709,0.21518987341772153,0.47058823529411764,17,47.96143063461051,0.20847846402174838,0.5294117647058824
gpt-4o-mini,gpt-5.1,184,92,72,312.3478260869565,173622.35869565216,194315.01630434784,1791.6358695652175,8403.282608695652,0.5,0.782608695652174,0.10543478260869564,0.7619565217391304,0.5,0.10869565217391304,0.391304347826087,288.8607594936709,0.21518987341772153,0.47058823529411764,17,-23.48706659328559,-0.28481012658227844,0.3120204603580563
gpt-4o-mini,gpt-5.4,173,1,1,241.3757225433526,82111.92485549134,95916.1676300578,1985.1849710982658,2081.676300578035,0.005780346820809248,1.0,0.0,0.9959537572254336,0.9942196531791907,0.0,0.005780346820809248,288.8607594936709,0.21518987341772153,0.47058823529411764,17,47.48503695031832,0.20940952659691228,0.5294117647058824
gpt-4.1,gpt-4o-mini,90,90,85,300.93333333333334,98281.87777777777,100533.16666666667,2124.8,2599.488888888889,1.0,0.9444444444444444,0.06333333333333334,0.9200000000000002,0.0,0.05555555555555555,0.9444444444444444,517.010752688172,1.0,0.34946236559139787,186,216.0774193548387,0.0,0.5949820788530465
gpt-4.1,gpt-4.1,187,185,184,298.2994652406417,110347.63101604278,111531.6898395722,2159.042780748663,3154.0267379679144,0.9893048128342246,0.9945945945945946,0.0074866310160427805,0.9802139037433155,0.0106951871657754,0.0053475935828877,0.983957219251337,517.010752688172,1.0,0.34946236559139787,186,218.7112874475303,0.010695187165775444,0.6451322290031968
gpt-4.1,gpt-5.1,196,114,88,325.8775510204082,182165.95408163266,195304.73469387754,1836.5765306122448,8522.760204081633,0.5816326530612245,0.7719298245614035,0.1306122448979592,0.7290816326530613,0.41836734693877553,0.1326530612244898,0.4489795918367347,517.010752688172,1.0,0.34946236559139787,186,191.13320166776384,0.41836734693877553,0.4224674589700056
gpt-4.1,gpt-5.4,196,78,78,254.0408163265306,86773.72959183673,94041.4336734694,1863.015306122449,2119.0204081632655,0.3979591836734694,1.0,0.0,0.9908163265306121,0.6020408163265306,0.0,0.3979591836734694,517.010752688172,1.0,0.34946236559139787,186,262.96993636164143,0.6020408163265306,0.6505376344086021
gpt-5.1,gpt-4o-mini,144,117,51,467.4166666666667,99834.9375,92964.76388888889,2185.7361111111113,2928.9444444444443,0.8125,0.4358974358974359,0.4583333333333333,0.20833333333333334,0.1875,0.4583333333333333,0.3541666666666667,425.28205128205127,0.5487179487179488,0.32710280373831774,107,-42.134615384615415,-0.26378205128205123,0.10879463215911817
gpt-5.1,gpt-4.1,154,131,70,427.23376623376623,108765.02597402598,102051.24025974025,2116.935064935065,3386.7597402597403,0.8506493506493507,0.5343511450381679,0.401948051948052,0.38376623376623376,0.14935064935064934,0.3961038961038961,0.45454545454545453,425.28205128205127,0.5487179487179488,0.32710280373831774,107,-1.951714951714962,-0.3019314019314019,0.2072483412998502
